a,b,c,d,e,f,g,defg,h,i,j
1,2,1,1,1,11,1,5,1,7,1
1,2,1,1,2,14,2,9,2,12,2
1,4,1,1,2,12,2,14,3,19,2
1,2,1,1,2,16,2,7,2,9,1
1,4,1,1,2,10,2,18,4,24,3
1,4,1,1,3,15,3,16,3,21,3
1,3,1,1,2,12,2,12,3,16,2
1,4,1,1,2,15,2,17,3,23,3
1,3,1,1,2,13,2,11,2,15,2
1,3,1,1,2,16,2,13,3,17,2
1,4,1,1,2,12,2,16,3,22,3
1,3,1,1,2,13,2,14,3,18,2
1,4,1,1,2,12,2,17,3,23,3
1,2,1,1,2,11,2,8,2,11,2
1,3,1,1,3,15,3,12,3,16,2
1,4,1,1,2,16,2,17,4,24,3
1,3,1,1,3,17,3,13,3,17,2
1,2,1,1,1,9,1,9,2,12,2
1,3,1,1,2,11,2,12,3,16,2
1,5,1,1,2,16,2,19,4,25,3
1,5,1,1,2,15,2,19,4,26,3
1,5,1,1,2,12,2,19,4,26,3
1,3,1,1,2,15,2,11,2,15,2
1,5,1,1,3,15,3,21,4,29,3
1,3,1,1,2,13,2,11,2,15,2
1,4,1,1,2,10,2,14,3,19,2
1,5,1,1,3,15,3,20,4,27,3
1,3,1,1,3,15,3,13,3,17,2
1,3,1,1,3,15,3,11,2,15,2
1,4,1,1,2,14,2,15,3,21,3
1,2,1,1,2,14,2,6,2,8,1
1,3,1,1,2,14,2,13,3,17,2
1,3,1,1,2,12,2,13,3,18,2
1,3,1,1,2,12,2,10,2,14,2
1,3,1,1,2,16,2,12,3,16,2
1,4,1,1,3,15,3,14,3,19,2
1,3,1,1,1,11,1,10,2,14,2
1,2,1,1,2,14,2,8,2,10,1
1,3,1,1,3,15,3,10,2,13,2
1,4,1,1,3,15,3,15,3,20,2
1,2,1,1,1,10,1,8,2,11,2
1,3,1,1,3,16,3,13,3,18,2
1,4,1,1,3,15,3,18,4,24,3
1,3,1,1,2,13,2,10,2,13,2
1,3,1,1,2,12,2,12,3,16,2
1,3,1,1,2,10,2,13,3,17,2
1,4,1,1,2,12,2,16,3,22,3
1,3,1,1,3,15,3,13,3,17,2
1,3,1,1,2,12,2,13,3,18,2
1,4,1,1,2,13,2,17,3,23,3
1,4,1,1,3,15,3,17,3,23,3
1,4,1,1,3,15,3,16,3,21,3
1,3,1,1,1,10,1,13,3,18,2
1,3,1,1,2,11,2,12,3,16,2
1,3,1,1,2,14,2,13,3,17,2
1,4,1,1,2,13,2,17,3,23,3
1,4,1,1,2,13,2,16,3,22,3
1,3,1,1,2,12,2,10,2,14,2
1,3,1,1,2,16,2,14,3,18,2
1,4,1,1,2,15,2,15,3,21,3
1,5,1,1,2,13,2,20,4,27,3
1,4,1,1,2,13,2,15,3,21,3
1,2,1,1,2,14,2,9,2,12,2
1,4,1,1,2,14,2,18,4,24,3
1,4,1,1,3,15,3,15,3,20,2
1,4,1,1,2,15,2,14,3,19,2
1,3,1,1,2,11,2,11,2,15,2
1,3,1,1,2,12,2,12,3,16,2
1,3,1,1,3,17,3,13,3,17,2
1,2,1,1,3,15,3,9,2,12,2
1,3,1,1,2,14,2,13,3,18,2
1,5,1,1,2,16,2,20,4,27,3
1,4,1,1,2,13,2,15,3,20,2
1,2,1,1,2,16,2,9,2,12,2
1,2,1,1,2,10,2,7,2,10,1
1,3,1,1,3,15,3,10,2,13,2
1,5,1,1,3,16,3,20,4,27,3
1,3,1,1,2,16,2,13,3,17,2
1,4,1,1,2,12,2,16,3,21,3
1,3,1,1,2,13,2,11,2,15,2
1,3,1,1,2,15,2,10,2,14,2
1,3,1,1,2,14,2,9,2,13,2
1,4,1,1,2,13,2,15,3,20,2
1,4,1,1,3,15,3,15,3,21,3
1,4,1,1,2,12,2,14,3,19,2
1,4,1,1,3,15,3,15,3,20,2
1,2,1,1,2,16,2,8,2,10,1
1,5,1,1,2,15,2,20,4,27,3
1,4,1,1,2,14,2,16,3,22,3
1,3,1,1,2,15,2,12,3,16,2
1,4,1,1,2,14,2,16,3,21,3
1,4,1,1,2,12,2,17,3,23,3
1,2,1,1,2,14,2,9,2,12,2
1,3,1,1,2,11,2,11,2,14,2
1,4,1,1,2,12,2,15,3,20,2
1,3,1,1,2,13,2,11,2,15,2
1,3,1,1,3,17,3,11,2,14,2
1,4,1,1,2,14,2,16,3,22,3
1,2,1,1,3,15,3,8,2,11,2
1,3,1,1,2,11,2,11,2,14,2
